"licenseId","name","reference","active"
"BSD-Source-Code","BSD Source Code Attribution","https://spdx.org/licenses/BSD-Source-Code.html","true"
"BSL-1.0","Boost Software License 1.0","https://spdx.org/licenses/BSL-1.0.html","true"
"BUSL-1.1","Business Source License 1.1","https://spdx.org/licenses/BUSL-1.1.html","true"
"bzip2-1.0.5","bzip2 and libbzip2 License v1.0.5","https://spdx.org/licenses/bzip2-1.0.5.html","false"
"bzip2-1.0.6","bzip2 and libbzip2 License v1.0.6","https://spdx.org/licenses/bzip2-1.0.6.html","true"
"C-UDA-1.0","Computational Use of Data Agreement v1.0","https://spdx.org/licenses/C-UDA-1.0.html","true"
"CAL-1.0","Cryptographic Autonomy License 1.0","https://spdx.org/licenses/CAL-1.0.html","true"
"CAL-1.0-Combined-Work-Exception","Cryptographic Autonomy License 1.0 (Combined Work Exception)","https://spdx.org/licenses/CAL-1.0-Combined-Work-Exception.html","true"
"Caldera","Caldera License","https://spdx.org/licenses/Caldera.html","true"
"CATOSL-1.1","Computer Associates Trusted Open Source License 1.1","https://spdx.org/licenses/CATOSL-1.1.html","true"
"CC-BY-1.0","Creative Commons Attribution 1.0 Generic","https://spdx.org/licenses/CC-BY-1.0.html","true"
"CC-BY-2.0","Creative Commons Attribution 2.0 Generic","https://spdx.org/licenses/CC-BY-2.0.html","true"
"CC-BY-2.5","Creative Commons Attribution 2.5 Generic","https://spdx.org/licenses/CC-BY-2.5.html","true"
"CC-BY-2.5-AU","Creative Commons Attribution 2.5 Australia","https://spdx.org/licenses/CC-BY-2.5-AU.html","true"
"CC-BY-3.0","Creative Commons Attribution 3.0 Unported","https://spdx.org/licenses/CC-BY-3.0.html","true"
"CC-BY-3.0-AT","Creative Commons Attribution 3.0 Austria","https://spdx.org/licenses/CC-BY-3.0-AT.html","true"
"CC-BY-3.0-DE","Creative Commons Attribution 3.0 Germany","https://spdx.org/licenses/CC-BY-3.0-DE.html","true"
"CC-BY-3.0-IGO","Creative Commons Attribution 3.0 IGO","https://spdx.org/licenses/CC-BY-3.0-IGO.html","true"
"CC-BY-3.0-NL","Creative Commons Attribution 3.0 Netherlands","https://spdx.org/licenses/CC-BY-3.0-NL.html","true"
"CC-BY-3.0-US","Creative Commons Attribution 3.0 United States","https://spdx.org/licenses/CC-BY-3.0-US.html","true"
"CC-BY-4.0","Creative Commons Attribution 4.0 International","https://spdx.org/licenses/CC-BY-4.0.html","true"
"CC-BY-NC-1.0","Creative Commons Attribution Non Commercial 1.0 Generic","https://spdx.org/licenses/CC-BY-NC-1.0.html","true"
"CC-BY-NC-2.0","Creative Commons Attribution Non Commercial 2.0 Generic","https://spdx.org/licenses/CC-BY-NC-2.0.html","true"
"CC-BY-NC-2.5","Creative Commons Attribution Non Commercial 2.5 Generic","https://spdx.org/licenses/CC-BY-NC-2.5.html","true"
"CC-BY-NC-3.0","Creative Commons Attribution Non Commercial 3.0 Unported","https://spdx.org/licenses/CC-BY-NC-3.0.html","true"
"CC-BY-NC-3.0-DE","Creative Commons Attribution Non Commercial 3.0 Germany","https://spdx.org/licenses/CC-BY-NC-3.0-DE.html","true"
"CC-BY-NC-4.0","Creative Commons Attribution Non Commercial 4.0 International","https://spdx.org/licenses/CC-BY-NC-4.0.html","true"
"CC-BY-NC-ND-1.0","Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic","https://spdx.org/licenses/CC-BY-NC-ND-1.0.html","true"
